#hg19.ensGene.name	hg19.ensGene.chrom	hg19.ensGene.strand	hg19.ensGene.txStart	hg19.ensGene.txEnd	hg19.ensGene.cdsStart	hg19.ensGene.cdsEnd	hg19.ensGene.exonCount	hg19.ensGene.exonStarts	hg19.ensGene.exonEnds	hg19.ensemblToGeneName.value
ENST00000535828	chr21	+	30397015	30426561	30397063	30426508	9	30397015,30400193,30414835,30415743,30418987,30421081,30422412,30426122,30426386,	30397098,30400210,30414849,30415920,30419642,30421176,30422499,30426279,30426561,	USP16
ENST00000286827	chr21	-	32490733	32931290	32492685	32639288	29	32490733,32496839,32499382,32502530,32503207,32508250,32513435,32513642,32519212,32524953,32525383,32526564,32537278,32554737,32559316,32567539,32575223,32582360,32585713,32589868,32595721,32598041,32617803,32624057,32638325,32649047,32711557,32836295,32931239,	32493155,32497012,32499470,32502633,32503266,32508359,32513554,32513822,32519321,32525079,32525452,32526744,32537382,32554962,32559403,32567621,32575328,32582531,32585788,32590015,32595907,32598266,32617976,32624505,32639299,32649224,32711737,32836348,32931290,	TIAM1
ENST00000541036	chr21	-	32492674	32649083	32492685	32639288	24	32492674,32496839,32499382,32502530,32503207,32508250,32513435,32513642,32519212,32524953,32525383,32526564,32537278,32554737,32559316,32567539,32582360,32589868,32595721,32598041,32617803,32624057,32638325,32649047,	32493155,32497012,32499470,32502633,32503266,32508359,32513554,32513822,32519321,32525079,32525452,32526744,32537382,32554962,32559403,32567621,32582531,32590015,32595907,32598266,32617976,32624505,32639299,32649083,	TIAM1
ENST00000382264	chr21	+	34602205	34635061	34614227	34635021	9	34602205,34614190,34615977,34617255,34619022,34621013,34624966,34632901,34634865,	34602521,34614282,34616019,34617379,34619195,34621159,34625135,34633032,34635061,	IFNAR2
ENST00000382241	chr21	+	34602230	34636818	34614227	34635805	9	34602230,34614190,34615977,34617255,34619022,34621013,34624966,34632901,34635097,	34602521,34614282,34616019,34617379,34619195,34621159,34625135,34633032,34636818,	IFNAR2
ENST00000404220	chr21	+	34602275	34637980	34614227	34635021	9	34602275,34614144,34615977,34617255,34619022,34621013,34624966,34632901,34634865,	34602521,34614282,34616019,34617379,34619195,34621159,34625135,34633032,34637980,	IFNAR2
ENST00000342136	chr21	+	34602278	34636830	34614227	34635805	9	34602278,34614144,34615977,34617255,34619022,34621013,34624966,34632901,34635097,	34602521,34614282,34616019,34617379,34619195,34621159,34625135,34633032,34636830,	IFNAR2
ENST00000420068	chr21	+	34602286	34619158	34619158	34619158	4	34602286,34614190,34615977,34619022,	34602521,34614282,34616019,34619158,	IFNAR2
ENST00000342101	chr21	+	34602440	34636830	34614227	34635108	8	34602440,34614144,34615977,34617255,34619022,34621013,34624966,34635097,	34602521,34614282,34616019,34617379,34619195,34621159,34625135,34636830,	IFNAR2
ENST00000382238	chr21	+	34602445	34635160	34614227	34624496	10	34602445,34614190,34615977,34617255,34619022,34621013,34624442,34624966,34632901,34635097,	34602521,34614282,34616019,34617379,34619195,34621159,34624553,34625135,34633032,34635160,	IFNAR2
ENST00000443073	chr21	+	34602486	34635160	34617374	34635160	7	34602486,34617255,34619022,34621013,34624966,34632901,34635097,	34602521,34617379,34619195,34621159,34625135,34633032,34635160,	IFNAR2
ENST00000413881	chr21	+	34602486	34635160	34617374	34635108	6	34602486,34617255,34619022,34621013,34624966,34635097,	34602521,34617379,34619195,34621159,34625135,34635160,	IFNAR2
ENST00000447980	chr21	+	34602713	34621159	34602827	34621159	6	34602713,34614190,34615977,34617255,34619022,34621013,	34602862,34614282,34616019,34617379,34619195,34621159,	IFNAR2
ENST00000362077	chr21	+	35445891	35732332	35732332	35732332	6	35445891,35497640,35587800,35635119,35665980,35732204,	35446045,35497780,35587841,35635221,35666056,35732332,	AP000320.7
ENST00000427022	chr21	+	35577355	35697334	35697334	35697334	5	35577355,35587800,35635119,35665980,35697035,	35577625,35587841,35635238,35666056,35697334,	AP000318.2
ENST00000475045	chr21	-	36259342	37376965	36259342	36421196	13	36259342,36265221,36421138,36437232,36834258,36952957,37027117,37236582,37342372,37354048,37356869,37360427,37376861,	36259393,36265260,36421255,36437369,36834323,36953227,37027173,37236765,37342465,37354214,37357128,37360469,37376965,	RUNX1
ENST00000400485	chr21	+	37692486	37748944	37692562	37747594	17	37692486,37705943,37709171,37710029,37711071,37713696,37716876,37717209,37721608,37728917,37732252,37732481,37734480,37736390,37741285,37744671,37747440,	37692601,37706016,37709304,37710244,37711219,37713844,37717005,37717329,37721706,37729022,37732375,37732556,37734526,37736557,37742174,37744829,37748944,	MORC3
ENST00000487909	chr21	+	37692528	37748944	37748944	37748944	16	37692528,37709171,37710029,37711071,37713696,37716876,37717209,37721608,37728917,37732252,37732481,37734480,37736390,37741285,37744671,37747440,	37692601,37709304,37710244,37711219,37713844,37717005,37717329,37721706,37729022,37732375,37732556,37734526,37736557,37742174,37744829,37748944,	MORC3
ENST00000547657	chr21	+	37741908	37758446	37758446	37758446	5	37741908,37744671,37754316,37757027,37758357,	37742174,37744829,37754453,37757127,37758446,	MORC3
ENST00000552581	chr21	+	37741908	37758446	37741908	37752610	7	37741908,37744671,37747440,37749707,37752528,37757027,37758357,	37742174,37744829,37747516,37749805,37752616,37757127,37758446,	MORC3
ENST00000551367	chr21	+	37741908	37758446	37758446	37758446	3	37741908,37744671,37758357,	37742174,37744829,37758446,	MORC3
ENST00000551788	chr21	+	37741908	37758446	37741910	37747594	6	37741908,37744671,37747440,37752528,37757027,37758357,	37742174,37744829,37747606,37752616,37757127,37758446,	MORC3
ENST00000549948	chr21	+	37741908	37758446	37741910	37747594	7	37741908,37744671,37747440,37749707,37752923,37757027,37758357,	37742174,37744829,37747606,37749805,37752980,37757127,37758446,	MORC3
ENST00000546482	chr21	+	37741908	37758446	37741910	37747594	8	37741908,37744671,37747440,37752528,37754316,37756484,37757027,37758357,	37742174,37744829,37747606,37752616,37754453,37756508,37757127,37758446,	MORC3
ENST00000462274	chr21	+	38739235	38858783	38858783	38858783	5	38739235,38844985,38850509,38852939,38858768,	38739930,38845182,38850602,38853128,38858783,	DYRK1A
ENST00000338785	chr21	+	38739878	38887680	38792676	38878610	13	38739878,38782871,38792600,38844985,38850482,38852939,38858768,38862476,38865318,38868419,38877585,38878401,38884213,	38739930,38782972,38792686,38845182,38850602,38853128,38858916,38862763,38865465,38868560,38877892,38878657,38887680,	DYRK1A
ENST00000426672	chr21	+	38739882	38853007	38792676	38853007	5	38739882,38792600,38844985,38850482,38852939,	38739930,38792686,38845182,38850602,38853007,	DYRK1A
ENST00000455097	chr21	+	38739882	38845113	38792676	38845113	4	38739882,38787791,38792600,38844985,	38739930,38787867,38792686,38845113,	DYRK1A
ENST00000451934	chr21	+	38791206	38878610	38792676	38878610	10	38791206,38844985,38850482,38852939,38858768,38862476,38865318,38868419,38877585,38878401,	38792686,38845182,38850602,38853128,38858916,38862763,38865465,38868560,38877892,38878610,	DYRK1A
ENST00000321219	chr21	+	38791206	38878651	38792676	38878651	11	38791206,38844985,38850482,38852939,38858768,38862476,38865318,38868419,38877585,38878468,38878573,	38792686,38845182,38850602,38853128,38858916,38862763,38865465,38868560,38877892,38878470,38878651,	DYRK1A
ENST00000339659	chr21	+	38791206	38889753	38792676	38884834	11	38791206,38844985,38850509,38852939,38858768,38862476,38865318,38868419,38877585,38878401,38884213,	38792686,38845182,38850602,38853128,38858916,38862763,38865465,38868560,38877892,38878526,38889753,	DYRK1A
ENST00000398960	chr21	+	38792601	38884889	38792676	38884834	11	38792601,38844985,38850482,38852939,38858768,38862476,38865318,38868419,38877585,38878401,38884213,	38792686,38845182,38850602,38853128,38858916,38862763,38865465,38868560,38877892,38878526,38884889,	DYRK1A
ENST00000498351	chr21	+	38792626	38845017	38845017	38845017	3	38792626,38802570,38844985,	38792686,38802702,38845017,	DYRK1A
ENST00000398956	chr21	+	38792676	38884257	38792676	38884257	10	38792676,38844985,38850482,38852939,38858768,38862476,38865318,38868419,38877585,38884213,	38792686,38845182,38850602,38853128,38858916,38862763,38865465,38868560,38877892,38884257,	DYRK1A
ENST00000398910	chr21	-	39751948	40033618	39755324	39947624	11	39751948,39762916,39763580,39772495,39774478,39775427,39795331,39817326,39947585,39956767,40033581,	39755845,39762964,39763637,39772567,39774559,39775631,39795483,39817544,39947671,39956869,40033618,	ERG
ENST00000417133	chr21	-	39751948	40033618	39755324	39947624	12	39751948,39762916,39763580,39764297,39772495,39774478,39775427,39795331,39817326,39947585,39956767,40033581,	39755845,39762964,39763637,39764366,39772567,39774559,39775631,39795483,39817544,39947671,39956869,40033618,	ERG
ENST00000398911	chr21	-	39751948	39956869	39755324	39947624	10	39751948,39762916,39763580,39764297,39774478,39775427,39795331,39817326,39947585,39956767,	39755845,39762964,39763637,39764366,39774559,39775631,39795483,39817544,39947671,39956869,	ERG
ENST00000398897	chr21	-	39751948	39956824	39755324	39795443	9	39751948,39762916,39763580,39764297,39774478,39775427,39795331,39947585,39956767,	39755845,39762964,39763637,39764366,39774559,39775631,39795483,39947671,39956824,	ERG
ENST00000288319	chr21	-	39751948	39870407	39755324	39870304	10	39751948,39762916,39763580,39764297,39772495,39774478,39775427,39795331,39817326,39870286,	39755845,39762964,39763637,39764366,39772567,39774559,39775631,39795483,39817544,39870407,	ERG
ENST00000398907	chr21	-	39751948	39870366	39755324	39870304	9	39751948,39762916,39763580,39772495,39774478,39775427,39795331,39817326,39870286,	39755845,39762964,39763637,39772567,39774559,39775631,39795483,39817544,39870366,	ERG
ENST00000398905	chr21	-	39751948	39870366	39755324	39870304	9	39751948,39762916,39763580,39764297,39774478,39775427,39795331,39817326,39870286,	39755845,39762964,39763637,39764366,39774559,39775631,39795483,39817544,39870366,	ERG
ENST00000442448	chr21	-	39751951	40033704	39755324	39947624	11	39751951,39762916,39763580,39764297,39774478,39775427,39795331,39817326,39947585,39956767,40033581,	39755845,39762964,39763637,39764366,39774559,39775631,39795483,39817544,39947671,39956869,40033704,	ERG
ENST00000453032	chr21	-	39755047	39870400	39755324	39795443	9	39755047,39762916,39763580,39764297,39772495,39774478,39775427,39795331,39870286,	39755845,39762964,39763637,39764366,39772567,39774559,39775631,39795483,39870400,	ERG
ENST00000398919	chr21	-	39755212	40032591	39755324	39947624	12	39755212,39762916,39763580,39764297,39772495,39774478,39775427,39795331,39817326,39947585,39956767,40032445,	39755845,39762964,39763637,39764366,39772567,39774559,39775631,39795483,39817544,39947671,39956869,40032591,	ERG
ENST00000481609	chr21	-	39763580	39870380	39870380	39870380	8	39763580,39764297,39774478,39775427,39795331,39817326,39845949,39870286,	39763637,39764366,39774559,39775631,39795483,39817544,39846044,39870380,	ERG
ENST00000429727	chr21	-	39763871	39870345	39764238	39870304	4	39763871,39795331,39817326,39870286,	39764366,39795483,39817544,39870345,	ERG
ENST00000468474	chr21	-	39771993	40033618	40033618	40033618	8	39771993,39774478,39775427,39795331,39817326,39947585,39956767,40033581,	39772567,39774559,39775631,39795483,39817544,39947671,39956869,40033618,	ERG
ENST00000485493	chr21	-	39842697	40033618	40033618	40033618	5	39842697,39845949,39947585,39956767,40033581,	39844003,39846044,39947671,39956869,40033618,	ERG
ENST00000340648	chr21	+	45079428	45115958	45079545	45113264	16	45079428,45089764,45092188,45093750,45094516,45094914,45096152,45096613,45103159,45104433,45105650,45106684,45107396,45110168,45111319,45113070,	45079675,45089847,45092246,45093836,45094578,45095044,45096217,45096795,45103254,45104531,45105670,45106816,45108121,45110321,45111383,45115958,	RRP1B
ENST00000400314	chr21	+	47063607	47362368	47269999	47361620	16	47063607,47155305,47269874,47316121,47319512,47320504,47320910,47329268,47330815,47333864,47337501,47349830,47350699,47355166,47359943,47361583,	47063782,47155343,47270009,47316276,47319536,47320537,47321027,47329400,47330944,47333939,47337543,47349909,47350759,47355219,47360113,47362368,	PCBP3
ENST00000465077	chr21	+	47063607	47208653	47208653	47208653	4	47063607,47148589,47155305,47208211,	47063782,47148662,47155343,47208653,	PCBP3
ENST00000601068	chr21	-	47183564	47190005	47183564	47190005	4	47183564,47185993,47187933,47189948,	47183690,47186037,47188060,47190005,	PRED60
ENST00000400754	chr21	-	9907189	9968548	9968548	9968548	3	9907189,9966321,9968515,	9909277,9966380,9968548,	TEKT4P2
ENST00000416067	chr21	-	9907193	9968585	9968585	9968585	4	9907193,9909046,9966321,9968515,	9908432,9909277,9966380,9968585,	TEKT4P2
ENST00000415664	chr21	-	10906740	11029719	11029719	11029719	32	10906740,10908824,10910306,10914362,10920083,10921933,10933851,10934038,10934936,10941907,10942710,10942920,10944667,10951265,10952912,10959740,10970008,10971291,10973722,10985044,10987768,10996019,10998206,11011437,11012916,11013470,11014937,11015347,11020812,11021109,11026722,11029597,	10907040,10908895,10910399,10914442,10920164,10921995,10933940,10934120,10934997,10941972,10942774,10943020,10944787,10951427,10952963,10959800,10970062,10971345,10973776,10985102,10987877,10996139,10998335,11011650,11012982,11013600,11015102,11015544,11020917,11021211,11026839,11029719,	TPTE
ENST00000496773	chr21	-	10996025	11058323	11058323	11058323	15	10996025,10998206,11011437,11012916,11013490,11014937,11015357,11020812,11021109,11026722,11029597,11038727,11047480,11049449,11058160,	10996139,10998335,11011650,11012982,11013600,11015102,11015544,11020917,11021211,11026839,11029717,11039447,11047595,11049621,11058323,	BAGE2
ENST00000447861	chr21	+	14410480	14424439	14424439	14424439	5	14410480,14414822,14415099,14421285,14424116,	14410745,14414937,14417591,14421350,14424439,	ANKRD30BP2
ENST00000435744	chr21	+	14410528	14439354	14439354	14439354	11	14410528,14414822,14415099,14417483,14418556,14421285,14424116,14432897,14437495,14437878,14439172,	14410745,14414937,14415273,14417591,14418694,14421350,14424210,14433204,14437563,14438020,14439354,	ANKRD30BP2
ENST00000507941	chr21	+	14410650	14418742	14418742	14418742	2	14410650,14417483,	14410745,14418742,	ANKRD30BP2
ENST00000471407	chr21	+	14415104	14424439	14424439	14424439	4	14415104,14417483,14421285,14424116,	14415273,14417591,14421350,14424439,	ANKRD30BP2
ENST00000451663	chr21	-	15281894	15352232	15352232	15352232	25	15281894,15282816,15284038,15287507,15289067,15289875,15297484,15299655,15304548,15306158,15309855,15311566,15313135,15317359,15323387,15323552,15326386,15330436,15333129,15339701,15342293,15343487,15347504,15347840,15352022,	15281975,15282870,15284084,15287730,15289279,15290157,15297614,15299768,15304695,15306548,15310388,15311749,15313299,15317430,15323460,15323581,15326471,15330506,15333160,15339757,15342431,15343594,15347678,15347955,15352232,	ANKRD20A11P
ENST00000428576	chr21	-	15310266	15342324	15342324	15342324	7	15310266,15311566,15313135,15317359,15323387,15323552,15342293,	15310388,15311749,15313299,15317430,15323460,15323581,15342324,	ANKRD20A11P
ENST00000429521	chr21	-	15316064	15344450	15344450	15344450	8	15316064,15317359,15323387,15323552,15335060,15339701,15342293,15344316,	15316183,15317430,15323460,15323581,15335192,15339757,15342431,15344450,	ANKRD20A11P
ENST00000344693	chr21	-	15316089	15352758	15352758	15352758	6	15316089,15317359,15323387,15323552,15326386,15352022,	15316183,15317430,15323460,15323581,15326471,15352758,	ANKRD20A11P
ENST00000432621	chr21	+	15399741	15516789	15516789	15516789	3	15399741,15456270,15516077,	15399918,15456465,15516789,	AP001347.6
ENST00000428809	chr21	+	15399741	15516789	15516789	15516789	3	15399741,15456270,15515829,	15399918,15456465,15516789,	AP001347.6
ENST00000468643	chr21	+	15588450	15600693	15600693	15600693	5	15588450,15591873,15593417,15596758,15599200,	15588603,15592046,15593490,15596858,15600693,	RBM11
ENST00000468788	chr21	+	15588465	15599375	15599375	15599375	5	15588465,15591873,15593417,15596758,15599179,	15588603,15592046,15593490,15596858,15599375,	RBM11
ENST00000495055	chr21	+	15588473	15600494	15600494	15600494	4	15588473,15593417,15596758,15599200,	15588603,15593490,15596858,15600494,	RBM11
ENST00000400577	chr21	+	15588498	15600693	15588507	15599614	5	15588498,15591883,15593417,15596758,15599200,	15588603,15592046,15593490,15596858,15600693,	RBM11
ENST00000475864	chr21	+	15596695	15599705	15599705	15599705	2	15596695,15599200,	15596858,15599705,	RBM11
ENST00000285670	chr21	-	15857548	15955723	15858232	15954717	9	15857548,15870762,15872849,15882630,15884764,15889212,15893470,15954456,15955640,	15858435,15870913,15873056,15882782,15884894,15889362,15893542,15954809,15955723,	SAMSN1
ENST00000400566	chr21	-	15857548	15918664	15858232	15918582	8	15857548,15870762,15872849,15882630,15884764,15889212,15893470,15918525,	15858435,15870913,15873056,15882782,15884894,15889362,15893542,15918664,	SAMSN1
ENST00000400564	chr21	-	15857548	15918662	15858232	15918582	4	15857548,15870762,15872849,15918525,	15858435,15870913,15873056,15918662,	SAMSN1
ENST00000435732	chr21	-	15964250	16015454	15964942	16015454	7	15964250,15966333,15974343,15981802,15985196,15988296,16015322,	15964960,15966399,15974420,15981889,15985234,15988337,16015454,	AF165138.7
ENST00000400562	chr21	-	15966040	16031142	15966300	16031092	7	15966040,15974343,15981802,15985196,15988296,16015322,16031068,	15966399,15974420,15981889,15985234,15988337,16015454,16031142,	AF165138.7
ENST00000455253	chr21	-	16119082	16126184	16126184	16126184	3	16119082,16123183,16126121,	16120696,16123230,16126184,	AF127936.3
ENST00000454128	chr21	-	16120066	16125783	16125783	16125783	3	16120066,16123183,16125644,	16120696,16123230,16125783,	AF127936.3
ENST00000412426	chr21	-	16209502	16254231	16254231	16254231	4	16209502,16225594,16229862,16254207,	16210144,16225752,16230029,16254231,	AF127936.7
ENST00000418954	chr21	-	16225291	16254296	16254296	16254296	3	16225291,16229862,16254207,	16225752,16230029,16254296,	AF127936.7
ENST00000318948	chr21	-	16333555	16437126	16337036	16340513	4	16333555,16386664,16415815,16437065,	16340847,16386787,16415895,16437126,	NRIP1
ENST00000400202	chr21	-	16333555	16437321	16337036	16340513	3	16333555,16386664,16437065,	16340847,16386787,16437321,	NRIP1
ENST00000400199	chr21	-	16333555	16437255	16337036	16340513	3	16333555,16415815,16437065,	16340847,16415895,16437255,	NRIP1
ENST00000285681	chr21	+	17102343	17252377	17102712	17250794	25	17102343,17135209,17138315,17150222,17163820,17172075,17177439,17181127,17183455,17191016,17196357,17197284,17198522,17199295,17202849,17203719,17205666,17214716,17222095,17236586,17238584,17242386,17246721,17250114,17250621,	17102757,17135287,17138460,17150346,17163983,17172162,17177577,17181204,17183529,17191165,17196485,17197380,17198684,17199522,17202920,17203948,17205867,17214859,17222191,17236765,17238663,17242466,17246845,17250310,17252377,	USP25
